data,label
10_0.0_10-0a,0.0
10_0.0_10-0b,0.0
10_0.0_10-0d,0.0
10_0.0_10-0g,0.0
10_0.0_10-0t,0.0
10_0.0_10-10a,0.0
10_0.0_10-10b,0.0
10_0.0_10-10d,0.0
10_0.0_10-10g,0.0
10_0.0_10-10t,0.0
10_0.0_10-11a,0.0
10_0.0_10-11b,0.0
10_0.0_10-11d,0.0
10_0.0_10-11g,0.0
10_0.0_10-11t,0.0
10_0.0_10-12a,0.0
10_0.0_10-12b,0.0
10_0.0_10-12d,0.0
10_0.0_10-12g,0.0
10_0.0_10-12t,0.0
10_0.0_10-13a,0.0
10_0.0_10-13b,0.0
10_0.0_10-13d,0.0
10_0.0_10-13g,0.0
10_0.0_10-13t,0.0
10_0.0_10-14a,0.0
10_0.0_10-14b,0.0
10_0.0_10-14d,0.0
10_0.0_10-14g,0.0
10_0.0_10-14t,0.0
10_0.0_10-15a,0.0
10_0.0_10-15b,0.0
10_0.0_10-15d,0.0
10_0.0_10-15g,0.0
10_0.0_10-15t,0.0
10_0.0_10-16a,0.0
10_0.0_10-16b,0.0
10_0.0_10-16d,0.0
10_0.0_10-16g,0.0
10_0.0_10-16t,0.0
10_0.0_10-17a,0.0
10_0.0_10-17b,0.0
10_0.0_10-17d,0.0
10_0.0_10-17g,0.0
10_0.0_10-17t,0.0
10_0.0_10-18a,0.0
10_0.0_10-18b,0.0
10_0.0_10-18d,0.0
10_0.0_10-18g,0.0
10_0.0_10-18t,0.0
10_0.0_10-19a,0.0
10_0.0_10-19b,0.0
10_0.0_10-19d,0.0
10_0.0_10-19g,0.0
10_0.0_10-19t,0.0
10_0.0_10-1a,0.0
10_0.0_10-1b,0.0
10_0.0_10-1d,0.0
10_0.0_10-1g,0.0
10_0.0_10-1t,0.0
10_0.0_10-20a,0.0
10_0.0_10-20b,0.0
10_0.0_10-20d,0.0
10_0.0_10-20g,0.0
10_0.0_10-20t,0.0
10_0.0_10-21a,0.0
10_0.0_10-21b,0.0
